,Mkt-RF,SMB,HML,RF,Book to Market Ratio,Treasury Bill,AAA Yields,BAA Yields,Long Term Yield,Net Equity Expansion,Risk-Free Rate,Inflation,Long Term Rate of Returns,corpr,Stock Variance,Cross-Sectional Premium,CRSP Value Weighted Return,CRSP Value Weighted Return Excluding Dividends
19280921,0.67,-0.46,0.17,0.011,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027980057,0.003808333,0.011695906,-0.0041,0.003,0.000650464,,0.022409,0.019937
19280922,-0.24,0.19,0.69,0.011,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027980057,0.003808333,0.011695906,-0.0041,0.003,0.000650464,,0.022409,0.019937
19280924,0.63,-0.43,-0.08,0.011,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027980057,0.003808333,0.011695906,-0.0041,0.003,0.000650464,,0.022409,0.019937
19280925,-0.07,0.23,0.12,0.011,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027980057,0.003808333,0.011695906,-0.0041,0.003,0.000650464,,0.022409,0.019937
19280926,-0.15,0.2,-0.54,0.011,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027980057,0.003808333,0.011695906,-0.0041,0.003,0.000650464,,0.022409,0.019937
19280927,-1.22,-0.15,-0.01,0.011,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027980057,0.003808333,0.011695906,-0.0041,0.003,0.000650464,,0.022409,0.019937
19280928,0.01,-0.11,-0.46,0.011,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027980057,0.003808333,0.011695906,-0.0041,0.003,0.000650464,,0.022409,0.019937
19280929,1.03,0.01,-0.2,0.011,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027980057,0.003808333,0.011695906,-0.0041,0.003,0.000650464,,0.022409,0.019937
19281001,-0.11,0.85,-0.31,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281002,-0.44,0.1,-0.05,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281003,-0.28,0.56,0.16,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281004,0.25,0.17,0.3,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281005,-0.29,0.45,-0.05,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281006,-0.05,0,0.2,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281008,-0.33,-0.14,-0.28,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281009,0.12,0.1,-1.05,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281010,0.92,-0.03,-0.06,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281011,0.31,0.5,-0.85,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281013,0.55,0.41,-0.47,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281015,0.38,-0.45,0.15,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281016,0.3,-0.19,0.56,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281017,0.3,0.81,0.23,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281018,0.29,-0.3,-0.37,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281019,0.45,-0.2,-0.55,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281020,-0.44,0.23,-0.02,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281022,-0.12,0.29,-0.61,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281023,0.66,-0.09,0.39,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281024,0.22,-0.04,0.36,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281025,-0.26,-0.05,0.25,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281026,-1.14,-0.39,-0.05,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281027,0.86,0.17,-0.07,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281029,0.69,-0.05,0.56,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281030,-1.05,-0.32,-0.17,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281031,-0.49,-0.31,-0.56,0.016,0.308930838,0.047,0.0461,0.0558,0.0336,0.034019372,0.003916667,-0.005780347,0.0158,0.0083,0.000678845,,0.013839,0.012055
19281101,1.29,-0.24,-0.25,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281102,-0.1,-0.21,0.3,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281103,0.04,-0.03,-0.32,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281105,1.13,-0.29,0.22,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281107,1.19,0.01,0.86,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281108,-0.25,0.01,-0.13,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281109,0.72,-0.38,0.46,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281110,0.78,-0.01,0.48,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281112,0.34,-0.46,0,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281113,0.07,0.18,-0.16,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281114,0.14,0.32,-0.3,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281115,0.36,-0.01,-0.65,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281116,1.77,-0.77,0.24,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281117,0.1,-0.02,-0.09,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281119,0.17,-0.56,1.03,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281120,1.11,-0.64,0.97,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281121,-1.51,0.47,-0.25,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281122,1.39,-0.43,0.72,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281123,0.26,0.44,-0.31,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281126,0.46,0.07,0.67,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281127,0.28,0.89,-0.19,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281128,1.1,0.38,-0.35,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281130,0.39,-0.41,-0.45,0.017,0.265525939,0.0426,0.0458,0.0555,0.0338,0.03837201,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
19281201,-0.6,0.05,0.66,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281203,-0.7,0.37,-0.42,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281204,0.23,0.5,-0.43,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281205,-0.7,0.83,-0.37,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281206,-3.54,0.01,-1.35,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281207,-2.35,-0.5,0.85,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281208,-1.89,-0.6,0.01,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281210,1.63,-1.33,0.71,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281211,2.3,1.35,0.37,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281212,-0.78,-0.19,0.21,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281213,-0.34,0.44,0.19,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281214,0.19,-0.04,-0.15,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281215,-0.35,0.19,0.1,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281217,-0.37,-0.31,-0.52,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281218,1.07,-0.08,-0.16,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281219,1.2,-0.38,0.35,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281220,0.37,-0.02,-0.19,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281221,1.07,-0.32,-0.17,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281222,0.12,0.31,-0.3,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281224,0.87,0.19,-0.88,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281226,-0.31,0.02,0.25,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281227,0.66,-0.78,0,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281228,1.34,-0.53,0.18,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281229,0.2,0.3,0.17,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19281231,1.36,-0.33,0.57,0.002,0.259666667,0.0426,0.0461,0.056,0.034,0.063068738,0.00355,-0.005813953,0.0004,0.0084,0.00407747,,0.006232,0.002888
19290102,1.48,0.44,-0.19,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290103,0.1,0.11,-0.34,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290104,-0.03,-0.44,0.65,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290105,-0.88,0.44,-0.23,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290107,-1.3,-0.37,0.26,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290108,-0.23,0.2,0.24,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290109,1.2,0.08,0.12,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290110,0.27,0.31,-0.21,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290111,-0.04,0.21,0,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290112,-0.28,0.04,0.13,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290114,0.25,0.18,0.29,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290115,-0.98,-0.1,-0.08,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290116,0.91,-0.16,0.39,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290117,0.71,-0.36,0.05,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290118,0.04,0.24,0.11,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290119,0.19,-0.26,0.32,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290121,0.16,-0.18,0,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290122,0.59,-0.48,-0.26,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290123,0.53,-0.76,-0.56,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290124,-0.83,0.15,-0.67,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290125,1.18,-0.61,-1.32,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290126,0.34,-0.19,-0.08,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290128,-0.27,0.13,0.03,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290129,-0.27,-0.21,-0.31,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290130,0.34,-0.74,-0.32,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290131,1.36,-0.9,0.87,0.013,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078448656,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
19290201,0.56,-0.34,0.76,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290202,0.01,0.31,0.74,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290204,-0.44,0.71,0.1,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290205,0.22,0.18,-0.21,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290206,-0.82,-0.23,-0.69,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290207,-2.97,-0.02,0.4,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290208,-0.96,-0.57,0.64,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290211,2.18,-0.81,0.71,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290213,0.1,0.42,-0.93,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290214,-0.63,-0.44,0.51,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290215,-1.62,0.59,-0.58,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290216,-1.4,-0.52,0.35,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290218,1.12,-0.38,0.35,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290219,0.2,0.95,-0.33,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290220,0.84,0.32,-0.15,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290221,0.73,-0.45,0.07,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290225,0.28,0.49,-0.23,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290226,0.36,0.16,-0.29,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290227,1.06,-0.31,0.59,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290228,1.01,-0.38,-0.14,0.018,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071783137,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
19290301,1.01,-0.1,0.39,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290302,-0.27,-0.19,0.63,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290304,-0.89,-0.05,0.39,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290305,-0.68,-0.55,0.53,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290306,-1.57,-0.42,-0.28,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290307,0.76,-0.59,0.38,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290308,0.58,0.01,0.04,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290309,-0.01,0.4,-0.25,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290311,-1.3,0.35,-0.29,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290312,0.25,-0.46,0.06,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290313,0.98,-0.3,0.18,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290314,1.55,-0.15,-0.34,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290315,1.07,-0.28,-0.03,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290316,0.27,0.08,0.04,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290318,-0.43,-0.03,0.09,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290319,0.02,-0.57,0.57,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290320,0.02,-0.5,0.54,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290321,-0.43,0.27,-0.62,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290322,-1.15,0.11,-0.78,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290323,-0.98,0.08,-0.35,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290325,-3.14,-0.67,-0.34,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290326,-1.16,-2.7,-0.01,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290327,3.28,0.74,0.41,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
19290328,1.63,0.65,0.59,0.014,0.272300469,0.046,0.047,0.0579,0.0377,0.079804566,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
